02/17/2026-15:28:56.773143  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:58484
02/17/2026-16:53:52.823757  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:52688
02/17/2026-16:53:52.827990  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:52688 -> 10.0.1.10:80
02/17/2026-16:53:52.891786  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:52688
02/17/2026-16:53:52.891786  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:52688
02/17/2026-16:53:52.945413  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:52688 -> 10.0.1.10:80
02/17/2026-16:53:53.129592  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:52688 -> 10.0.1.10:80
02/17/2026-16:53:53.129661  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:52688
02/17/2026-16:54:18.085005  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:46156
02/17/2026-16:59:19.415301  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:39480 -> 10.0.1.10:80
02/17/2026-16:59:19.438251  [**] [1:2221036:1] SURICATA HTTP Response excessive header repetition [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:39490
02/17/2026-16:59:49.129443  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:37502
02/17/2026-16:59:49.129443  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:37502
02/17/2026-16:59:49.129490  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:37502 -> 10.0.1.10:80
02/17/2026-16:59:49.129494  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:37502 -> 10.0.1.10:80
02/17/2026-16:59:49.130638  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:37502
02/17/2026-16:59:49.130638  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:37502
02/17/2026-16:59:49.130772  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:37502 -> 10.0.1.10:80
02/17/2026-16:59:49.140727  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:37502 -> 10.0.1.10:80
02/17/2026-16:59:49.217341  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:37502 -> 10.0.1.10:80
02/17/2026-16:59:49.217427  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:37502
02/17/2026-17:00:24.502999  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:59188
02/17/2026-17:00:24.502999  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:59188
02/17/2026-17:00:24.503031  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:59188 -> 10.0.1.10:80
02/17/2026-17:00:24.503035  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:59188 -> 10.0.1.10:80
02/17/2026-17:00:24.503452  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:59188 -> 10.0.1.10:80
02/17/2026-17:00:24.504719  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:59188
02/17/2026-17:00:24.504719  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:59188
02/17/2026-17:00:24.515819  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:59188 -> 10.0.1.10:80
02/17/2026-17:00:24.588513  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:59188 -> 10.0.1.10:80
02/17/2026-17:00:24.588605  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:59188
02/17/2026-17:02:14.101609  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50930
02/17/2026-17:02:14.101609  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50930
02/17/2026-17:02:14.101634  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:50930 -> 10.0.1.10:80
02/17/2026-17:02:14.101638  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:50930 -> 10.0.1.10:80
02/17/2026-17:02:14.102006  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:50930 -> 10.0.1.10:80
02/17/2026-17:02:14.103043  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50930
02/17/2026-17:02:14.103043  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50930
02/17/2026-17:02:14.108548  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:50930 -> 10.0.1.10:80
02/17/2026-17:02:14.112625  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50930
02/17/2026-17:02:14.112625  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50930
02/17/2026-17:02:14.124629  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50930
02/17/2026-17:02:14.124629  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50930
02/17/2026-17:02:14.216816  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:50930 -> 10.0.1.10:80
02/17/2026-17:02:14.216912  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50930
02/17/2026-17:03:30.177305  [**] [1:2260000:1] SURICATA Applayer Mismatch protocol both directions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:44562 -> 10.0.1.10:80
02/17/2026-17:03:30.198497  [**] [1:2221036:1] SURICATA HTTP Response excessive header repetition [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:44572
02/18/2026-15:31:19.401377  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:42438
02/18/2026-15:55:37.032302  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.1.10:8080 -> 10.0.3.10:36748
02/18/2026-16:10:37.099011  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50582
02/18/2026-16:10:37.099011  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50582
02/18/2026-16:10:37.099024  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:50582 -> 10.0.1.10:80
02/18/2026-16:10:37.099066  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:50582
02/18/2026-16:10:37.099095  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:50582 -> 10.0.1.10:80
02/18/2026-16:10:40.987437  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:49584
02/18/2026-16:10:40.987437  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:49584
02/18/2026-16:10:40.987450  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:49584 -> 10.0.1.10:80
02/18/2026-16:10:40.987503  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:49584
02/18/2026-16:10:40.987522  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:49584 -> 10.0.1.10:80
02/18/2026-16:10:42.566969  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:49676
02/18/2026-16:10:42.566969  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:49676
02/18/2026-16:10:42.944443  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:49676 -> 10.0.1.10:80
02/18/2026-16:10:42.944490  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:49676
02/18/2026-16:10:42.944519  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:49676 -> 10.0.1.10:80
02/18/2026-16:10:44.506667  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:49774
02/18/2026-16:10:44.506667  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:49774
02/18/2026-16:10:44.506681  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:49774 -> 10.0.1.10:80
02/18/2026-16:10:44.777429  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:49774
02/18/2026-16:10:44.777458  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:49774 -> 10.0.1.10:80
02/18/2026-16:10:48.564244  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38348
02/18/2026-16:10:48.564244  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38348
02/18/2026-16:10:48.564256  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:38348 -> 10.0.1.10:80
02/18/2026-16:10:48.564298  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38348
02/18/2026-16:10:48.564321  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:38348 -> 10.0.1.10:80
02/18/2026-16:10:50.111822  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38480
02/18/2026-16:10:50.111822  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38480
02/18/2026-16:10:50.407382  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:38480 -> 10.0.1.10:80
02/18/2026-16:10:50.407437  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38480
02/18/2026-16:10:50.407456  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:38480 -> 10.0.1.10:80
02/18/2026-16:10:52.241715  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38576
02/18/2026-16:10:52.241715  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38576
02/18/2026-16:10:52.241726  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:38576 -> 10.0.1.10:80
02/18/2026-16:10:52.241768  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38576
02/18/2026-16:10:52.241790  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:38576 -> 10.0.1.10:80
02/18/2026-16:10:53.784155  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:38658 -> 10.0.1.10:80
02/18/2026-16:10:53.784222  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38658
02/18/2026-16:10:53.784222  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38658
02/18/2026-16:10:54.062451  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38658
02/18/2026-16:10:54.062469  [**] [1:2210038:3] SURICATA STREAM FIN out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:38658 -> 10.0.1.10:80
02/18/2026-16:10:55.888923  [**] [1:2210029:3] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38750
02/18/2026-16:10:55.888923  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38750
02/18/2026-16:10:55.888936  [**] [1:2210020:3] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.3.10:38750 -> 10.0.1.10:80
02/18/2026-16:10:55.888987  [**] [1:2210030:3] SURICATA STREAM FIN invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.1.10:80 -> 10.0.3.10:38750
